source,strategy,symbol,timeframe,n_trades,trades_per_month,profit_factor,win_rate,net_pnl,expectancy,sharpe_ann,hac_sharpe_ann,max_drawdown,status,readiness,principal_blocker
nested_outer_oos_stitched_symbol,tsm_heikin_ashi_ema50,BTCUSDT,1h,274,,0.8435447694684274,0.3905109489051095,-36.11462303500775,-0.1318051935583948,-0.6724524957960814,-0.745655400455748,0.005457675541878984,oos_symbol,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,
nested_outer_oos_stitched_symbol,tsm_heikin_ashi_ema50,ETHUSDT,1h,292,,0.7928620416086872,0.3493150684931507,-28.63529112500146,-0.09806606549657537,-1.0548878138065148,-1.0470136104184322,0.002999890725447986,oos_symbol,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,
full_history_baseline,tsm_hilo_ha_adx,BTCUSDT,5m,18237,241.3,0.6321634223377405,0.3014201897241871,-1337.1948684702256,-0.0733,-8.210212715919107,-6.869815587388216,0.13379979073489537,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_hilo_ha_adx,ETHUSDT,5m,18109,239.61,0.7231998437302563,0.32039317466453143,-583.2243099149782,-0.0322,-5.7284776825733985,-5.814012932328569,0.05835547409555479,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_hilo_ha_adx,BTCUSDT,15m,7605,100.63,0.7738883713053862,0.3368836291913215,-459.45055603995024,-0.0604,-2.9519257746316794,-3.1518292866120072,0.04620975313080188,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_hilo_ha_adx,ETHUSDT,15m,7651,101.23,0.8444512453677214,0.3489739903280617,-192.76502278997395,-0.0252,-1.8644295819953016,-1.8801425398135436,0.020460719945054214,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_impulse_volume,BTCUSDT,1h,1138,15.06,0.897779217440696,0.3945518453427065,-48.31327616000999,-0.0425,-0.5111177937884006,-0.512878639450731,0.008326194596045163,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_impulse_volume,ETHUSDT,1h,1149,15.2,1.009072419925677,0.3907745865970409,2.57901277500423,0.0022,0.04573491250364592,0.046215609938373106,0.003366707748699523,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_impulse_volume,BTCUSDT,4h,340,4.5,1.1487079943650114,0.4411764705882353,37.08971805499823,0.1091,0.3866049934096556,0.35647763168446456,0.0027308970100578347,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_impulse_volume,ETHUSDT,4h,316,4.18,1.0756310998530056,0.370253164556962,10.937186205026592,0.0346,0.19370104866068677,0.187551883027136,0.0016022981592017072,ok,LIVE_STOP / RESEARCH_ONLY,
nested_outer_oos_stitched,tsm_impulse_volume,BTCUSDT+ETHUSDT,4h,262,8.86054888888889,1.0817530652672827,0.42748091603053434,18.236735810005484,0.06960586187022924,0.2200486460330759,0.2024316364073934,0.0027369572379780565,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,pooled_pf
nested_outer_oos_stitched_symbol,tsm_impulse_volume,BTCUSDT,4h,144,,1.0942369649946528,0.4583333333333333,14.818669504988065,0.10290742711805596,0.30127796577506244,0.2688856021567548,0.0027369572379780565,oos_symbol,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,
nested_outer_oos_stitched_symbol,tsm_impulse_volume,ETHUSDT,4h,118,,1.0519289638623341,0.3898305084745763,3.418066305017419,0.02896666360169492,0.1388193262910893,0.135977670658032,0.0009848704468594757,oos_symbol,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,
full_history_baseline,tsm_liquidity_sweep,BTCUSDT,15m,5780,76.48,0.5737836983663692,0.3050173010380623,-488.30430626499947,-0.08448171388667823,-5.277532806394329,-4.658839951433183,0.0489723838923014,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_liquidity_sweep,ETHUSDT,15m,5794,76.66,0.6397847941050607,0.30859509837763205,-227.94483086502441,-0.03934153104332068,-4.246323929903635,-3.9852435395072066,0.02306650279560444,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_london_opening_channel,BTCUSDT,1h,1950,25.8,0.6230235327567512,0.5723076923076923,-163.76542410000002,-0.084,-2.7910804308228845,-2.5209491779627737,0.01758972251900254,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_london_opening_channel,ETHUSDT,1h,1919,25.39,0.8439770053067489,0.6185513288170922,-37.4005894750444,-0.0195,-1.0703499975517032,-0.9854608950341328,0.005867697505402286,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_macd_trend,BTCUSDT,1h,940,12.44,0.8942161543931013,0.3829787234042553,-58.2937613749873,-0.062,-0.4885238469021957,-0.5277380657497115,0.007417701629675897,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_macd_trend,ETHUSDT,1h,961,12.72,0.9374112206237828,0.39438085327783556,-21.286901070001477,-0.0222,-0.274574270952892,-0.28115997834550116,0.005569844348672092,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_macd_trend,BTCUSDT,4h,279,3.69,0.9037848707145321,0.3906810035842294,-26.506399219986633,-0.095,-0.23985128139045717,-0.24220098529237316,0.008869929725331144,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_macd_trend,ETHUSDT,4h,276,3.65,0.9128953483597086,0.41304347826086957,-13.832361954986482,-0.0501,-0.20674051074803282,-0.2256688350155971,0.003342982457240207,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_pivot_bb,BTCUSDT,1d,92,1.22,0.9370154524821722,0.3804347826086957,-8.90279144500164,-0.0968,-0.09261055571750434,-0.08939837507453363,0.00560483968991713,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_pivot_bb,ETHUSDT,1d,87,1.15,1.3309532010750782,0.41379310344827586,20.093127195006673,0.231,0.3397382794515019,0.4022553396359809,0.0014122624599812183,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_pivot_bb,BTCUSDT,4h,639,8.46,0.9901855307656973,0.37871674491392804,-3.415877814990381,-0.0053,-0.03393845428272242,-0.03411863630599239,0.003582387858215401,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_pivot_bb,ETHUSDT,4h,698,9.24,1.0254131842105871,0.35816618911174786,5.744751795011325,0.0082,0.08671720363171198,0.0819237282221499,0.002402590360485269,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_pressure_zone,BTCUSDT,1h,3903,51.64,0.6979910692453319,0.33563925185754545,-360.2684204949255,-0.0923,-3.005429838727551,-2.9296918628151287,0.03627660339648456,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_pressure_zone,ETHUSDT,1h,3956,52.34,0.8455750757244239,0.3442871587462083,-111.30080895009269,-0.0281,-1.4934370760194327,-1.6434216263368164,0.011959872170782556,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_pressure_zone,BTCUSDT,1d,184,2.44,1.409622841004284,0.41304347826086957,81.6613674549917,0.4438,0.6490711451580274,0.6384608473473385,0.002715179266121084,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_pressure_zone,ETHUSDT,1d,166,2.2,1.0677177798120323,0.4036144578313253,9.492443799985267,0.0572,0.13390411623412085,0.1315567495781949,0.0033331695094401008,ok,LIVE_STOP / RESEARCH_ONLY,
nested_outer_oos_stitched,tsm_pressure_zone,BTCUSDT+ETHUSDT,1d,137,4.633187777777778,1.2443770814038255,0.4233576642335766,44.08017104497412,0.3217530733211673,0.30449737603042504,0.3209974193114041,0.0027239383543299083,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,sharpe
nested_outer_oos_stitched_symbol,tsm_pressure_zone,BTCUSDT,1d,63,,1.4946483321952775,0.5079365079365079,51.19496848498784,0.8126185473809513,0.8401671018106646,0.8689171761238992,0.0027239383543299083,oos_symbol,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,
nested_outer_oos_stitched_symbol,tsm_pressure_zone,ETHUSDT,1d,74,,0.907455775501905,0.35135135135135137,-7.114797440013717,-0.09614591135135153,-0.23117234974981443,-0.22692233750109106,0.002648274958873621,oos_symbol,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,
full_history_baseline,tsm_rsi_adx_ema_scalp,BTCUSDT,5m,6364,84.21,0.03435514572595966,0.06725329981143935,-539.3529584849894,-0.0848,-18.157717454859025,-8.079802250072182,0.05393529584849894,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_rsi_adx_ema_scalp,ETHUSDT,5m,6683,88.43,0.05900681843345233,0.09696244201705821,-255.94258754998373,-0.0383,-20.175663780302372,-10.88583820091363,0.02559425875499837,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_rsi_adx_ema_scalp,BTCUSDT,15m,2092,27.68,0.11454846176516753,0.1491395793499044,-180.9786308100429,-0.0865,-10.107283261884895,-7.146971798621284,0.018104492631936933,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_rsi_adx_ema_scalp,ETHUSDT,15m,2204,29.16,0.16479283421011223,0.2046279491833031,-92.19844516999365,-0.0418,-9.55315470664097,-7.7055315219027625,0.00922517936373633,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_rsi_momentum_fib,BTCUSDT,?,3563,47.14,0.78691474965447,0.36458040976705025,-225.8536264150007,-0.0634,-2.0952070336977857,-1.9359,0.023504219832165118,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_rsi_momentum_fib,ETHUSDT,?,3723,49.26,0.8913345983566219,0.3661026054257319,-70.6754538050136,-0.019,-1.0503808141652353,-1.1281,0.008138856598114842,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_triple_ema_pullback,BTCUSDT,15m,408,5.4,0.6435017454213507,0.3553921568627451,-29.871912979997433,-0.07321547299019594,-1.1225650858699245,-1.2050865357169063,0.0030651451584654127,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_triple_ema_pullback,ETHUSDT,15m,437,5.78,0.9743830287689339,0.41647597254004576,-1.1487241099966923,-0.0026286592906177957,-0.07245445644285341,-0.06953582793659131,0.0012529314320655848,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_triple_ema_pullback,BTCUSDT,1h,97,1.28,0.7158870398153733,0.3402061855670103,-11.936600484988958,-0.12305773695876274,-0.46255496049187567,-0.48453435606581696,0.0019526646550446802,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_triple_ema_pullback,ETHUSDT,1h,80,1.06,0.6139868057251073,0.325,-6.928321455005062,-0.08660401818750021,-0.5653374310787596,-0.5717285179959934,0.0009420183815090651,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vol_climax,BTCUSDT,1h,0,,,,,,,,,no_signals,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vol_climax,ETHUSDT,1h,0,,,,,,,,,no_signals,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vol_climax,BTCUSDT,4h,0,,,,,,,,,no_signals,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vol_climax,ETHUSDT,4h,0,,,,,,,,,no_signals,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_outside,BTCUSDT,15m,2569,33.99,0.5646702313711164,0.33086804203970416,-204.65266555504422,-0.0797,-4.121380189139829,-3.7130674193615256,0.020484444308379004,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_outside,ETHUSDT,15m,2460,32.55,0.665428817637717,0.3443089430894309,-85.17348941505043,-0.0346,-2.9735973682076158,-3.1850680684528037,0.008575758327281217,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_rsi,BTCUSDT,30m,0,,,,,,,,,no_data,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_rsi,ETHUSDT,30m,0,,,,,,,,,no_data,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_rsi,BTCUSDT,1h,3102,41.04,0.8082452934301677,0.32108317214700194,-234.53745389497453,-0.0756,-1.5766883449935676,-1.571246068767169,0.024917951673599895,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_rsi,ETHUSDT,1h,3120,41.28,0.9106820279795949,0.33397435897435895,-65.06494829004441,-0.0209,-0.7145728166025768,-0.7893342226084884,0.008510939883865358,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_sd,BTCUSDT,15m,3131,41.43,0.6244938183569088,0.3557968700095816,-214.28092765991823,-0.0684,-3.6058585422177525,-3.2610844066003155,0.021506193975980557,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_sd,ETHUSDT,15m,2473,32.72,0.6534679511565046,0.34452082490901736,-82.91458513500947,-0.0335,-3.015151004904845,-2.6455160060662175,0.008417676600128033,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_sd,BTCUSDT,1h,426,5.64,0.8901177682838763,0.3967136150234742,-15.007295050005268,-0.0352,-0.34753043666937283,-0.31383434078389727,0.0026265916492205126,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_vwap_sd,ETHUSDT,1h,271,3.59,0.9340945780740616,0.33579335793357934,-3.3253738099974726,-0.0123,-0.1468531168477489,-0.16263100625776208,0.000975996436141334,ok,LIVE_STOP / RESEARCH_ONLY,
